Date,Customers
7/31/2015,555
7/30/2015,546
7/29/2015,523
7/28/2015,560
7/27/2015,612
7/25/2015,500
7/24/2015,459
7/23/2015,503
7/22/2015,463
7/21/2015,469
7/20/2015,526
7/18/2015,512
7/17/2015,519
7/16/2015,517
7/15/2015,550
7/14/2015,544
7/13/2015,553
7/11/2015,441
7/10/2015,449
7/9/2015,480
7/8/2015,485
7/7/2015,485
7/6/2015,540
7/4/2015,560
7/3/2015,538
7/2/2015,573
7/1/2015,562
6/30/2015,568
6/29/2015,541
6/27/2015,463
6/26/2015,420
6/25/2015,433
6/24/2015,414
6/23/2015,447
6/22/2015,489
6/20/2015,494
6/19/2015,487
6/18/2015,498
6/17/2015,476
6/16/2015,503
6/15/2015,586
6/13/2015,502
6/12/2015,422
6/11/2015,442
6/10/2015,453
6/9/2015,485
6/8/2015,502
6/6/2015,460
6/5/2015,609
6/3/2015,616
6/2/2015,590
6/1/2015,607
5/30/2015,580
5/29/2015,537
5/28/2015,474
5/27/2015,497
5/26/2015,479
5/23/2015,506
5/22/2015,495
5/21/2015,471
5/20/2015,533
5/19/2015,546
5/18/2015,577
5/16/2015,505
5/15/2015,523
5/13/2015,523
5/12/2015,438
5/11/2015,453
5/9/2015,596
5/8/2015,536
5/7/2015,491
5/6/2015,536
5/5/2015,514
5/4/2015,589
5/2/2015,653
4/30/2015,650
4/29/2015,579
4/28/2015,552
4/27/2015,574
4/25/2015,537
4/24/2015,437
4/23/2015,426
4/22/2015,411
4/21/2015,416
4/20/2015,480
4/18/2015,544
4/17/2015,511
4/16/2015,480
4/15/2015,501
4/14/2015,535
4/13/2015,574
4/11/2015,525
4/10/2015,428
4/9/2015,430
4/8/2015,500
4/7/2015,555
4/4/2015,796
4/2/2015,722
4/1/2015,707
3/31/2015,589
3/30/2015,697
3/28/2015,605
3/27/2015,529
3/26/2015,490
3/25/2015,447
3/24/2015,464
3/23/2015,495
3/21/2015,506
3/20/2015,472
3/19/2015,535
3/18/2015,504
3/17/2015,555
3/16/2015,605
3/14/2015,599
3/13/2015,493
3/12/2015,405
3/11/2015,521
3/10/2015,491
3/9/2015,485
3/7/2015,570
3/6/2015,579
3/5/2015,534
3/4/2015,597
3/3/2015,576
3/2/2015,669
2/28/2015,640
2/27/2015,542
2/26/2015,489
2/25/2015,512
2/24/2015,500
2/23/2015,454
2/21/2015,547
2/20/2015,548
2/19/2015,507
2/18/2015,509
2/17/2015,512
2/16/2015,478
2/14/2015,624
2/13/2015,630
2/12/2015,477
2/11/2015,501
2/10/2015,419
2/9/2015,501
2/7/2015,599
2/6/2015,604
2/5/2015,551
2/4/2015,544
2/3/2015,596
2/2/2015,669
1/31/2015,638
1/30/2015,616
1/29/2015,573
1/28/2015,537
1/27/2015,532
1/26/2015,566
1/24/2015,600
1/23/2015,489
1/22/2015,493
1/21/2015,460
1/20/2015,462
1/19/2015,480
1/17/2015,622
1/16/2015,524
1/15/2015,517
1/14/2015,545
1/13/2015,564
1/12/2015,590
1/10/2015,566
1/9/2015,494
1/8/2015,457
1/7/2015,603
1/6/2015,595
1/5/2015,712
1/3/2015,645
1/2/2015,657
12/31/2014,327
12/30/2014,703
12/29/2014,700
12/27/2014,684
12/24/2014,421
12/23/2014,957
12/22/2014,1080
12/20/2014,962
12/19/2014,884
12/18/2014,841
12/17/2014,791
12/16/2014,823
12/15/2014,871
12/13/2014,850
12/12/2014,617
12/11/2014,587
12/10/2014,619
12/9/2014,559
12/8/2014,610
12/6/2014,746
12/5/2014,712
12/4/2014,681
12/3/2014,695
12/2/2014,717
12/1/2014,723
11/29/2014,749
11/28/2014,711
11/27/2014,668
11/26/2014,611
11/25/2014,610
11/24/2014,694
11/22/2014,678
11/21/2014,570
11/20/2014,635
11/19/2014,494
11/18/2014,529
11/17/2014,491
11/15/2014,614
11/14/2014,603
11/13/2014,471
